,B365A,B365D,B365H,away_team_goal,date,home_team_goal,match_id
112,4.75,3.5,1.8,0,2008-08-23 00:00:00,1,489054
113,3.2,3.25,2.3,0,2008-08-24 00:00:00,3,489055
114,7.0,3.75,1.57,1,2008-08-23 00:00:00,1,489056
115,1.57,3.75,6.5,0,2008-08-23 00:00:00,1,489057
116,2.5,3.25,2.88,2,2008-08-23 00:00:00,1,489058
117,1.8,3.4,4.8,1,2008-08-25 00:00:00,0,489059
118,1.73,3.6,5.0,2,2008-08-23 00:00:00,3,489060
119,1.4,4.5,8.5,1,2008-08-24 00:00:00,0,489061
120,19.0,6.5,1.2,0,2008-12-29 00:00:00,1,489233
121,10.0,4.5,1.4,0,2008-12-28 00:00:00,1,489234
122,5.5,3.6,1.72,1,2008-12-28 00:00:00,2,489235
123,5.0,3.6,1.8,0,2008-12-28 00:00:00,3,489236
124,1.8,3.6,5.0,5,2008-12-28 00:00:00,1,489237
125,2.87,3.3,2.62,2,2008-12-28 00:00:00,2,489238
126,1.61,3.75,6.5,2,2008-12-28 00:00:00,2,489239
127,3.4,3.25,2.3,1,2008-12-28 00:00:00,0,489240
128,2.2,3.4,3.5,0,2008-12-28 00:00:00,2,489241
129,1.91,3.6,4.33,1,2008-12-30 00:00:00,0,489242
130,3.5,3.2,2.2,0,2009-01-11 00:00:00,3,489243
131,11.0,4.33,1.36,0,2009-01-10 00:00:00,1,489244
132,9.0,4.33,1.4,1,2009-01-10 00:00:00,2,489245
133,6.0,3.75,1.62,0,2009-01-10 00:00:00,2,489246
134,3.4,3.2,2.25,1,2009-01-10 00:00:00,1,489247
135,3.4,3.3,2.2,2,2009-01-10 00:00:00,2,489248
136,3.4,3.2,2.25,2,2009-03-11 00:00:00,1,489249
137,2.5,3.25,2.87,0,2009-02-14 00:00:00,2,489250
138,1.36,4.5,10.0,0,2009-01-10 00:00:00,0,489251
139,2.88,3.25,2.5,0,2009-01-11 00:00:00,1,489252
140,6.0,3.75,1.62,1,2009-01-19 00:00:00,1,489253
141,2.25,3.25,3.25,2,2009-01-17 00:00:00,1,489254
142,5.0,3.6,1.73,1,2009-01-18 00:00:00,1,489255
143,3.6,3.3,2.1,1,2009-01-18 00:00:00,3,489256
144,3.75,3.4,2.0,0,2009-01-17 00:00:00,1,489257
145,3.8,3.4,2.0,0,2009-01-17 00:00:00,3,489258
146,1.5,3.8,8.0,1,2009-01-17 00:00:00,0,489259
147,3.0,3.3,2.38,0,2009-01-17 00:00:00,3,489260
148,1.62,4.0,5.5,3,2009-01-17 00:00:00,1,489261
149,15.0,6.5,1.2,1,2009-01-17 00:00:00,2,489262
150,3.5,3.3,2.25,0,2009-01-27 00:00:00,1,489263
151,6.5,3.8,1.61,1,2009-01-27 00:00:00,3,489264
152,4.75,3.6,1.83,0,2009-01-28 00:00:00,2,489265
153,1.36,5.0,10.0,5,2009-01-27 00:00:00,0,489266
154,2.3,3.4,3.25,1,2009-01-27 00:00:00,0,489267
155,1.83,3.5,5.0,1,2009-01-28 00:00:00,1,489268
156,2.5,3.3,3.0,1,2009-01-28 00:00:00,1,489269
157,5.0,3.75,1.75,1,2009-01-28 00:00:00,2,489270
158,4.5,3.25,2.0,2,2009-01-28 00:00:00,2,489271
159,15.0,6.0,1.25,0,2009-01-28 00:00:00,2,489272
160,10.0,4.5,1.36,0,2009-01-31 00:00:00,1,489273
161,7.0,4.2,1.5,0,2009-01-31 00:00:00,0,489274
162,3.1,3.1,2.5,0,2009-02-01 00:00:00,2,489275
163,6.0,3.7,1.61,0,2009-01-31 00:00:00,0,489276
164,2.87,3.3,2.5,0,2009-01-31 00:00:00,0,489277
165,2.8,3.2,2.6,1,2009-02-01 00:00:00,1,489278
166,4.0,3.3,2.0,1,2009-01-31 00:00:00,3,489279
167,2.62,3.3,2.75,2,2009-01-31 00:00:00,3,489280
168,3.5,3.2,2.2,2,2009-01-31 00:00:00,2,489281
169,2.25,3.3,3.25,0,2009-01-31 00:00:00,1,489282
170,4.5,3.5,1.83,0,2009-02-07 00:00:00,2,489283
171,2.4,3.3,3.0,0,2009-02-08 00:00:00,0,489284
172,1.57,3.75,6.5,1,2009-02-08 00:00:00,0,489285
173,5.5,3.4,1.72,0,2009-02-07 00:00:00,3,489286
174,6.0,3.75,1.61,0,2009-02-07 00:00:00,1,489287
175,2.5,3.3,2.87,2,2009-02-07 00:00:00,0,489288
176,3.25,3.3,2.25,3,2009-02-07 00:00:00,2,489289
177,1.8,3.3,5.0,3,2009-02-07 00:00:00,2,489290
178,3.8,3.4,2.0,0,2009-02-07 00:00:00,0,489291
179,19.0,6.0,1.2,0,2009-02-07 00:00:00,0,489292
180,13.0,5.5,1.25,1,2009-02-21 00:00:00,2,489293
181,9.0,4.33,1.4,0,2009-02-21 00:00:00,0,489294
182,7.0,3.75,1.57,1,2009-02-22 00:00:00,1,489295
183,2.25,3.3,3.3,1,2009-02-21 00:00:00,0,489296
184,3.0,3.25,2.4,0,2009-02-21 00:00:00,0,489297
185,2.5,3.25,2.87,0,2009-02-22 00:00:00,0,489298
186,4.75,3.5,1.8,0,2009-02-22 00:00:00,2,489299
187,3.1,3.3,2.3,1,2009-02-21 00:00:00,2,489300
188,2.37,3.3,3.0,2,2009-02-23 00:00:00,1,489301
189,2.87,3.25,2.5,2,2009-02-21 00:00:00,2,489302
190,13.0,5.5,1.25,0,2009-04-22 00:00:00,2,489303
191,9.0,4.33,1.4,0,2009-02-28 00:00:00,0,489304
192,2.5,3.3,2.87,1,2009-03-07 00:00:00,1,489305
193,2.87,3.25,2.5,0,2009-03-01 00:00:00,1,489306
194,10.0,4.0,1.4,2,2009-03-01 00:00:00,2,489307
195,7.5,4.0,1.5,0,2009-02-28 00:00:00,2,489308
196,1.72,3.5,5.5,0,2009-02-28 00:00:00,2,489309
197,4.0,3.3,2.0,0,2009-03-01 00:00:00,1,489310
198,2.5,3.25,2.87,2,2009-03-01 00:00:00,1,489311
199,13.0,5.0,1.28,1,2009-02-28 00:00:00,2,489312
200,4.5,3.5,1.83,0,2009-03-04 00:00:00,4,489313
201,1.57,3.75,6.5,3,2009-03-03 00:00:00,1,489314
202,1.57,3.75,6.5,1,2009-03-03 00:00:00,0,489315
203,2.9,3.25,2.5,0,2009-03-04 00:00:00,2,489316
204,3.4,3.3,2.2,1,2009-03-04 00:00:00,0,489317
205,9.5,4.33,1.4,0,2009-03-03 00:00:00,2,489318
206,1.5,4.0,7.5,2,2009-03-04 00:00:00,1,489319
207,2.87,3.3,2.5,0,2009-03-04 00:00:00,2,489320
208,2.9,3.25,2.5,0,2009-03-04 00:00:00,0,489321
209,5.75,3.6,1.66,1,2009-03-04 00:00:00,0,489322
210,4.5,3.3,1.91,4,2009-03-14 00:00:00,1,489323
211,8.0,4.33,1.44,0,2009-03-14 00:00:00,4,489324
212,3.5,3.2,2.2,2,2009-03-14 00:00:00,1,489325
213,5.75,3.6,1.67,0,2009-03-16 00:00:00,0,489326
214,4.0,3.3,2.0,2,2009-03-15 00:00:00,1,489327
215,7.5,4.0,1.5,1,2009-03-14 00:00:00,3,489328
216,3.5,3.2,2.2,1,2009-03-14 00:00:00,1,489329
217,3.75,3.25,2.1,3,2009-03-14 00:00:00,1,489330
218,2.75,3.25,2.62,1,2009-03-14 00:00:00,1,489331
219,9.0,4.5,1.4,0,2009-03-15 00:00:00,1,489332
220,13.0,5.5,1.25,0,2009-02-18 00:00:00,3,489062
221,9.0,4.0,1.44,0,2008-08-30 00:00:00,3,489063
222,3.4,3.3,2.2,3,2008-08-31 00:00:00,0,489064
223,2.88,3.25,2.5,1,2008-08-30 00:00:00,4,489065
224,2.4,3.25,3.0,0,2008-08-31 00:00:00,0,489066
225,3.75,3.3,2.1,3,2008-08-30 00:00:00,0,489067
226,7.0,3.6,1.57,1,2008-08-30 00:00:00,2,489068
227,4.5,3.5,1.83,0,2008-08-30 00:00:00,0,489069
228,2.88,3.25,2.5,5,2008-08-30 00:00:00,0,489070
229,9.0,4.33,1.4,1,2008-08-31 00:00:00,1,489071
230,8.0,4.2,1.44,0,2009-03-22 00:00:00,5,489333
231,1.83,3.5,4.5,0,2009-03-21 00:00:00,1,489334
232,1.72,3.6,5.0,3,2009-03-21 00:00:00,1,489335
233,5.5,3.6,1.66,0,2009-03-22 00:00:00,1,489336
234,4.33,3.4,1.9,1,2009-03-21 00:00:00,1,489337
235,1.44,4.2,8.0,0,2009-03-21 00:00:00,2,489338
236,3.0,3.3,2.4,1,2009-03-21 00:00:00,1,489339
237,2.62,3.2,2.75,1,2009-03-21 00:00:00,2,489340
238,3.3,3.3,2.25,0,2009-03-21 00:00:00,1,489341
239,5.0,3.6,1.72,0,2009-03-22 00:00:00,1,489342
240,9.0,4.33,1.4,2,2009-04-05 00:00:00,3,489343
241,7.5,3.75,1.53,0,2009-04-04 00:00:00,2,489344
242,3.75,3.2,2.1,0,2009-04-04 00:00:00,2,489345
243,5.5,3.4,1.72,0,2009-04-05 00:00:00,4,489346
244,1.72,3.6,5.0,2,2009-04-04 00:00:00,0,489347
245,2.75,3.25,2.62,1,2009-04-04 00:00:00,2,489348
246,1.61,3.75,6.0,1,2009-04-04 00:00:00,0,489349
247,3.6,3.3,2.1,1,2009-04-04 00:00:00,4,489350
248,3.4,3.25,2.2,2,2009-04-04 00:00:00,0,489351
249,2.75,3.25,2.62,0,2009-04-04 00:00:00,0,489352
250,11.0,4.75,1.33,0,2009-04-11 00:00:00,4,489353
251,1.5,4.0,7.5,2,2009-04-11 00:00:00,1,489354
252,5.5,3.5,1.73,0,2009-04-11 00:00:00,1,489355
253,3.5,3.25,2.2,3,2009-04-12 00:00:00,3,489356
254,3.75,3.3,2.1,1,2009-04-11 00:00:00,3,489357
255,4.33,3.4,1.91,3,2009-04-12 00:00:00,1,489358
256,5.5,3.5,1.73,2,2009-04-11 00:00:00,2,489359
257,2.88,3.25,2.5,1,2009-04-11 00:00:00,1,489360
258,1.73,3.5,5.25,4,2009-04-11 00:00:00,1,489361
259,15.0,5.5,1.25,3,2009-04-11 00:00:00,4,489362
260,5.0,3.6,1.72,4,2009-04-21 00:00:00,4,489363
261,4.2,3.4,1.91,0,2009-04-18 00:00:00,1,489364
262,5.5,3.6,1.67,0,2009-04-19 00:00:00,1,489365
263,5.5,3.6,1.67,1,2009-04-18 00:00:00,1,489366
264,3.3,3.25,2.25,0,2009-04-18 00:00:00,0,489367
265,6.5,3.8,1.57,2,2009-04-19 00:00:00,4,489368
266,3.6,3.3,2.1,0,2009-04-18 00:00:00,1,489369
267,3.0,3.25,2.4,0,2009-04-18 00:00:00,1,489370
268,1.3,5.0,12.0,2,2009-05-13 00:00:00,1,489371
269,8.5,4.2,1.44,0,2009-04-22 00:00:00,0,489372
270,9.0,4.0,1.44,2,2009-04-25 00:00:00,5,489373
271,7.5,4.2,1.5,0,2009-04-26 00:00:00,2,489374
272,1.85,3.3,4.75,1,2009-04-25 00:00:00,0,489375
273,4.5,3.5,1.83,2,2009-04-25 00:00:00,1,489376
274,3.75,3.5,2.0,0,2009-04-27 00:00:00,0,489377
275,4.2,3.4,1.9,0,2009-04-26 00:00:00,2,489378
276,5.0,3.5,1.75,0,2009-04-25 00:00:00,1,489379
277,2.37,3.3,3.1,1,2009-04-25 00:00:00,1,489380
278,2.87,3.3,2.5,0,2009-04-25 00:00:00,3,489381
279,1.36,4.5,10.0,3,2009-04-25 00:00:00,1,489382
280,13.0,5.5,1.25,0,2009-05-03 00:00:00,3,489383
281,2.9,3.25,2.5,2,2009-05-03 00:00:00,0,489384
282,7.0,4.0,1.5,0,2009-05-02 00:00:00,1,489385
283,7.0,3.8,1.53,0,2009-05-04 00:00:00,1,489386
284,1.57,3.8,6.5,2,2009-05-02 00:00:00,0,489387
285,4.0,3.3,2.0,1,2009-05-02 00:00:00,3,489388
286,2.3,3.3,3.2,3,2009-05-02 00:00:00,0,489389
287,3.1,3.25,2.37,1,2009-05-02 00:00:00,0,489390
288,3.75,3.25,2.1,0,2009-05-02 00:00:00,0,489391
289,7.0,3.8,1.53,1,2009-05-02 00:00:00,3,489392
290,9.5,4.75,1.36,0,2009-05-10 00:00:00,2,489393
291,2.8,3.25,2.6,4,2009-05-10 00:00:00,1,489394
292,1.57,3.8,6.5,3,2009-05-09 00:00:00,0,489395
293,3.2,3.3,2.3,0,2009-05-09 00:00:00,0,489396
294,3.8,3.4,2.0,1,2009-05-11 00:00:00,3,489397
295,4.0,3.25,2.0,0,2009-05-09 00:00:00,2,489398
296,2.75,3.25,2.62,1,2009-05-09 00:00:00,3,489399
297,3.5,3.25,2.2,0,2009-05-09 00:00:00,0,489400
298,2.9,3.4,2.4,1,2009-05-09 00:00:00,3,489401
299,3.6,3.3,2.1,2,2009-05-09 00:00:00,1,489402
300,6.0,3.5,1.67,0,2009-05-16 00:00:00,0,489403
301,4.5,3.5,1.83,1,2009-05-16 00:00:00,2,489404
302,5.0,3.6,1.73,1,2009-05-16 00:00:00,3,489405
303,2.75,3.4,2.5,1,2009-05-16 00:00:00,1,489406
304,4.0,3.5,1.91,1,2009-05-16 00:00:00,0,489407
305,3.4,3.3,2.2,1,2009-05-16 00:00:00,1,489408
306,1.4,5.0,7.0,2,2009-05-17 00:00:00,0,489409
307,3.75,3.2,2.1,1,2009-05-18 00:00:00,3,489410
308,3.4,3.25,2.2,0,2009-05-16 00:00:00,2,489411
309,11.0,5.0,1.3,0,2009-05-17 00:00:00,2,489412
310,10.0,5.0,1.33,1,2009-05-24 00:00:00,4,489413
311,6.5,4.0,1.53,1,2009-05-24 00:00:00,3,489414
312,1.91,3.6,4.0,3,2009-05-24 00:00:00,2,489415
313,3.2,3.4,2.25,1,2009-05-24 00:00:00,2,489416
314,3.1,3.4,2.3,0,2009-05-24 00:00:00,1,489417
315,5.0,3.6,1.73,0,2009-05-24 00:00:00,1,489418
316,4.5,3.5,1.83,0,2009-05-24 00:00:00,0,489419
317,3.6,3.3,2.1,2,2009-05-24 00:00:00,0,489420
318,2.3,3.5,3.0,1,2009-05-24 00:00:00,0,489421
319,3.5,3.4,2.1,0,2009-05-24 00:00:00,1,489422
320,2.6,3.0,3.0,1,2008-09-13 00:00:00,2,489072
321,3.6,3.3,2.1,2,2008-09-15 00:00:00,1,489073
322,5.75,3.75,1.62,2,2008-09-13 00:00:00,1,489074
323,1.91,3.3,4.33,3,2008-09-13 00:00:00,1,489075
324,1.83,3.5,4.5,4,2008-09-13 00:00:00,0,489076
325,3.3,3.3,2.25,1,2008-09-13 00:00:00,2,489077
326,3.0,3.25,2.4,2,2008-09-13 00:00:00,3,489078
327,3.75,3.5,2.0,1,2008-09-13 00:00:00,2,489079
328,2.2,3.4,3.4,3,2008-09-14 00:00:00,2,489080
329,4.0,3.3,2.05,1,2008-09-13 00:00:00,1,489081
330,15.0,6.5,1.2,0,2008-09-20 00:00:00,0,489082
331,3.2,3.1,2.38,0,2008-09-20 00:00:00,2,489083
332,5.0,3.6,1.73,0,2008-09-21 00:00:00,0,489084
333,3.6,3.3,2.1,1,2008-09-20 00:00:00,3,489085
334,4.0,3.3,2.0,0,2008-09-21 00:00:00,6,489086
335,3.6,3.3,2.1,0,2008-09-20 00:00:00,1,489087
336,1.57,3.75,6.5,3,2008-09-20 00:00:00,1,489088
337,2.25,3.3,3.25,2,2008-09-21 00:00:00,1,489089
338,2.3,3.4,3.1,2,2008-09-21 00:00:00,2,489090
339,3.6,3.1,2.2,1,2008-09-21 00:00:00,1,489091
340,15.0,6.0,1.22,0,2008-09-27 00:00:00,2,489092
341,17.0,6.0,1.2,2,2008-09-27 00:00:00,1,489093
342,6.5,3.75,1.57,1,2008-09-27 00:00:00,2,489094
343,2.1,3.25,3.75,2,2008-09-27 00:00:00,0,489095
344,5.0,3.4,1.8,1,2008-09-27 00:00:00,0,489096
345,2.75,3.3,2.6,2,2008-09-27 00:00:00,1,489097
346,3.2,3.25,2.3,2,2008-09-27 00:00:00,1,489098
347,3.0,3.25,2.5,0,2008-09-28 00:00:00,2,489099
348,1.36,4.75,9.0,2,2008-09-27 00:00:00,0,489100
349,2.38,3.3,3.0,1,2008-09-28 00:00:00,2,489101
350,1.62,3.75,6.0,1,2008-10-04 00:00:00,1,489102
351,4.75,3.75,1.73,1,2008-10-05 00:00:00,0,489103
352,4.75,3.4,1.83,3,2008-10-05 00:00:00,1,489104
353,5.0,3.6,1.73,2,2008-10-05 00:00:00,2,489105
354,2.25,3.3,3.2,3,2008-10-05 00:00:00,2,489106
355,1.62,3.75,6.0,2,2008-10-04 00:00:00,0,489107
356,3.25,3.25,2.25,0,2008-10-04 00:00:00,1,489108
357,6.0,3.4,1.67,1,2008-10-05 00:00:00,2,489109
358,3.6,3.3,2.1,1,2008-10-04 00:00:00,0,489110
359,7.0,4.0,1.5,0,2008-10-05 00:00:00,2,489111
360,15.0,6.5,1.2,0,2008-10-18 00:00:00,4,489112
361,10.0,4.5,1.36,1,2008-10-18 00:00:00,3,489113
362,9.0,4.33,1.4,2,2008-10-18 00:00:00,3,489114
363,5.0,3.25,1.83,0,2008-10-18 00:00:00,0,489115
364,1.62,3.7,6.0,5,2008-10-18 00:00:00,0,489116
365,2.4,3.25,3.0,2,2008-10-20 00:00:00,2,489117
366,3.3,3.25,2.25,0,2008-10-18 00:00:00,0,489118
367,3.0,3.25,2.4,0,2008-10-18 00:00:00,0,489119
368,2.75,3.25,2.62,0,2008-10-19 00:00:00,1,489120
369,2.25,3.3,3.25,1,2008-10-19 00:00:00,2,489121
370,3.4,3.3,2.2,1,2008-10-25 00:00:00,2,489122
371,4.0,3.3,2.05,0,2008-10-26 00:00:00,2,489123
372,1.62,3.75,6.0,2,2008-10-26 00:00:00,0,489124
373,1.5,4.0,7.5,1,2008-10-25 00:00:00,1,489125
374,7.5,4.33,1.44,0,2008-10-26 00:00:00,3,489126
375,3.75,3.25,2.1,1,2008-10-25 00:00:00,1,489127
376,3.4,3.3,2.2,3,2008-10-25 00:00:00,0,489128
377,4.5,3.5,1.83,1,2008-10-26 00:00:00,1,489129
378,2.75,3.3,2.6,4,2008-10-26 00:00:00,0,489130
379,4.5,3.25,1.91,1,2008-10-26 00:00:00,0,489131
380,17.0,6.0,1.2,0,2009-08-16 00:00:00,1,658571
381,2.3,3.25,3.2,1,2009-08-16 00:00:00,2,658574
382,,,,2,2009-08-15 00:00:00,0,658575
383,2.3,3.25,3.2,6,2009-08-15 00:00:00,1,658576
384,2.7,3.3,2.63,2,2009-08-15 00:00:00,0,658577
385,2.1,3.25,3.6,2,2009-08-15 00:00:00,0,658578
386,3.25,3.25,2.25,1,2009-08-15 00:00:00,0,658579
387,2.75,3.2,2.63,1,2009-08-15 00:00:00,0,658580
388,4.33,3.3,1.91,0,2009-08-15 00:00:00,2,658581
389,21.0,6.5,1.17,1,2009-08-15 00:00:00,2,658582
390,2.88,3.3,2.5,3,2009-10-24 00:00:00,1,658699
391,15.0,6.5,1.2,0,2009-10-24 00:00:00,5,658700
392,2.75,3.25,2.63,2,2009-10-25 00:00:00,3,658701
393,2.5,3.25,2.9,1,2009-10-24 00:00:00,2,658702
394,7.5,4.33,1.44,1,2009-10-24 00:00:00,0,658703
395,1.5,4.2,7.0,2,2009-10-25 00:00:00,2,658704
396,2.2,3.2,3.5,1,2009-10-24 00:00:00,1,658705
397,2.8,3.2,2.6,0,2009-10-24 00:00:00,0,658706
398,2.4,3.25,3.0,0,2009-10-25 00:00:00,2,658707
399,8.0,4.2,1.44,2,2009-10-25 00:00:00,2,658708
400,3.0,3.3,2.38,0,2009-10-31 00:00:00,4,658709
401,19.0,7.0,1.17,0,2009-10-31 00:00:00,2,658710
402,1.91,3.4,4.2,1,2009-10-31 00:00:00,3,658711
403,2.88,3.25,2.5,1,2009-10-31 00:00:00,1,658712
404,4.2,3.4,1.91,0,2009-10-31 00:00:00,2,658713
405,1.4,4.33,9.0,4,2009-10-31 00:00:00,0,658714
406,1.83,3.6,4.33,0,2009-11-01 00:00:00,0,658715
407,6.0,4.0,1.57,0,2009-10-31 00:00:00,3,658716
408,4.2,3.4,1.91,2,2009-10-31 00:00:00,2,658717
409,4.0,3.3,2.0,2,2009-10-31 00:00:00,2,658718
